score,repo_name,target
0.162356958374862,N64_Controller_Wireless_Rumble,0
0.934216702644697,cos_packages_apps_Settings,0
0.52920715457985,htc-kernel-msm7x30,0
1.25192259253025,msg-flukso,0
0.863102548868413,nhtg12,0
1.7580341975505,xorg-config,0
0.420015119465311,lge-kernel-kang,0
0.43205376149432,postgres,0
0.743670287357936,profilematic,0
0.324713916749724,calvr_plugins,0
0.434764163243895,AVPoV,0
0.54118986124954,LeafCAN,0
0.626046266668588,dungeon,0
0.476629164546791,PIC-dev-work,0
0.376787415637934,18xx-ti-utils,0
0.296580542069598,skbtrace-kernel,0
0.880677096441588,BubbleCode,0
0.966527368141297,bGeigieNano,0
0.749716432663072,msg-flukso,0
0.734266063913637,wl18xx_fw,0
0.361394231250701,Monitoring-Stuff,0
0.234725684367385,android_kernel_samsung_aries,0
0.288352474101181,neupet,0
0.574936736846002,PicoAtlas,0
0.324713916749724,rpgContest,0
0.520782083160216,munin,0
1.40844804504999,android_kernel_samsung_aries,0
1.06705205948767,android_kernel_samsung_aries,0
1.08455607437448,msg-flukso,0
0.730166702403214,linux,0
1.62683411156171,requiem_on_m13,0
0.57090078146953,Arduino-Countdown-Timer,0
1.08455607437448,msg-flukso,0
0.658311563563606,Arduino-Countdown-Timer,0
1.05343636746605,robocode-bots,0
0.548000600515027,lowpower-framework,0
0.395312992352108,movsim,0
0.586069279117899,tempTransmitter,0
0.588236445273635,Solar-Power-Project,0
0.422883580972051,DASH,0
0.174547055716774,powerapi-akka,0
0.422305297501264,BlackoutSolarCalculator,0
0.22817530374748,freebsd,0
0.768663545790014,slurm,0
0.131629970477493,freebsd,0
0.772657863073854,gaia,0
0.324713916749724,phonelab,0
0.405892395937155,asi-estimator,0
0.48544801209436,freebsd,0
1.1596082367122,TrainScheduler,0
0.175398151724801,linux-2.6,0
0.979859312158367,cmsi370,0
0.473272373308558,ChiruAddons,0
1.61255480585919,bip,0
0.36071560006348,android_kernel_htc_msm8660,0
0.617997569387804,BlackoutSolarCalculator,0
1.16407976945425,ernwin,0
0.259634313564134,android_kernel_samsung_smdk4412,0
0.427889834490236,android_kernel_tegra_n1,0
0.474713592431665,laptop-mode-tools,0
0.606083810965233,contiki-branch,0
0.162356958374862,streamit,0
0.472877048290506,slurm,0
0.938417055780856,omf,0
0.550423185275993,powermon,0
1.21216762193047,SpaceWars,0
0.234082586067573,linux,0
0.534916982128053,SGS3,0
1.10084637055199,playa,0
0.444161523501917,linux-kernel,0
0.301267463015511,powerapi-akka,0
0.20414621823717,linux,0
0.416509129257262,newp,0
0.642983795238717,contiki-branch,0
0.949330088415824,android_kernel_samsung_aries,0
1.30010588773845,android_kernel_samsung_aries,0
0.642471058788658,slurm,0
0.366432795082268,saga-ics-crc-3.0.16,0
0.937145540828839,Infinite-Alloys,0
1.09742274301778,Byzantium,0
0.452363557282522,system-config,0
1.59486200471987,system-config,0
1.33472809194784,gaia,0
0.448526988890009,2013RobotCode,0
0.667364045973922,gaia,0
0.0579846279910221,domoserv,0
0.730387311113352,MachineMusePowersuits,0
0.295099468722643,webos-telephonyd,0
0.863102548868413,ccpe-2014-experiments,0
0.475294866604727,TLP,0
1.20284660657251,android_device_sony_montblanc-common,0
0.245166874355086,open80211s,0
0.876464773336023,MachineMusePowersuits,0
0.214720984267072,lge-mako-kernel,0
1.35407417041613,MachineMusePowersuits,0
0.173269612291535,android_device_sony_blue-common,0
0.249905477554357,SharedSolar_datamunge,0
0.255834488510129,APRS_Projects,0
1.30146728924937,FSCL.Runtime,0
0.385482635273195,RobotCode2013,0
0.767202265660811,wehaus-web,0
1.12731072171785,SharedSolar_datamunge,0
0.749716432663072,MachineMusePowersuits,0
0.925142087452879,r2d2b2g,0
0.772174739148746,android_system_core,0
1.08455607437448,MachineMusePowersuits,0
0.405892395937155,EPDM,0
0.331849403976728,MEGScripts,0
0.331849403976728,MEGScripts,0
1.47914363805592,libertarian-welfare,0
1.07903314737316,energy,0
0.242197709468496,PicoAtlas,0
1.12063136649501,android_device_samsung_n7100,0
1.07646477333602,aerotools-ng,0
0.49349314200675,rvasec-badge-2013,0
0.317221432114411,freebsd,0
0.440167399425829,android_kernel_samsung_msm7x27a,0
0.255680289809446,android_device_lge_p940,0
0.929485235575759,EliteKernel-Blade-Rebase,0
0.284211605117298,OpenRA,0
1.18331491044473,SENSOR,0
0.265479523181383,power_reviews,0
0.378594185893491,android_kernel_shooter,0
0.43523859449126,android_device_samsung_i9305,0
0.419313765543119,mako,0
0.709613017431924,CSNetSim,0
0.208254564628631,uni-project,0
0.916880208950464,android_kernel_htc_msm8660,0
0.576951020889691,android_kernel_htc_msm8660,0
0.54118986124954,mestrado,0
0.200393854679941,power-scheduling,0
0.484867048772187,blog,0
0.642471058788658,arduino-gps-glasses,0
1.07643480637406,RPG-Items,0
0.820457503145983,slurm,0
0.54118986124954,flashcachelayer,0
0.769784640688379,Airplane1.0,0
0.817230379767681,mfaktx-controller,0
0.560547692901321,XT890-Kernel-Gamma,0
0.622871352607873,FanController,0
0.535203801559479,npp-api,0
0.519495838245432,Cataclysm-DDA,0
1.0687785295783,ArduinoQuadrocopter,0
1.24952738777179,gsd-solar,0
0.481853294091494,ns3psm,0
0.481853294091494,ns3psm,0
0.28284507297819,android_kernel_htc_kovsky,0
0.81178479187431,spaceapps2013,0
0.867358523720043,wsn-simulator,0
0.202946197968577,PowerToThePeople,0
0.624763693885893,prcweb.github.com,0
0.54118986124954,16.83-power-subsystem,0
0.176917461422183,mavlink,0
0.54118986124954,southendtransportresearch,0
